TEAM_ID,GP,FG3A,SEASON_YEAR_FULL
1610612758,6,64,2010-11
1610612761,5,37,2010-11
1610612743,5,75,2010-11
1610612759,5,71,2010-11
1610612757,5,74,2010-11
1610612762,5,45,2010-11
1610612764,5,79,2010-11
1610612748,5,44,2010-11
1610612737,5,63,2010-11
1610612760,5,64,2010-11
1610612745,5,72,2010-11
1610612763,5,37,2010-11
1610612751,5,63,2010-11
1610612754,5,97,2010-11
1610612739,5,61,2010-11
1610612752,5,123,2010-11
1610612742,5,60,2010-11
1610612755,5,75,2010-11
1610612744,5,77,2010-11
1610612741,5,67,2010-11
1610612753,5,66,2010-11
1610612738,5,70,2010-11
1610612766,5,62,2010-11
1610612765,5,60,2010-11
1610612740,5,71,2010-11
1610612749,5,60,2010-11
1610612750,5,56,2010-11
1612709916,5,81,2010-11
1610612747,5,62,2010-11
1610612756,5,64,2010-11
1610612746,5,69,2010-11
1611661330,34,453,2010-11
1610612737,82,1427,2010-11
1612709890,50,1019,2010-11
1612709900,50,1180,2010-11
1610612738,82,1119,2010-11
1610612766,82,1203,2010-11
1610612741,82,1415,2010-11
1611661329,34,510,2010-11
1610612739,82,1489,2010-11
1611661323,34,640,2010-11
1612709902,50,619,2010-11
1610612742,82,1768,2010-11
1610612743,82,1704,2010-11
1610612765,82,1256,2010-11
1612709913,50,842,2010-11
1612709910,50,977,2010-11
1610612744,82,1749,2010-11
1610612745,82,1843,2010-11
1612709903,50,1071,2010-11
1611661325,34,591,2010-11
1610612754,82,1653,2010-11
1612709911,50,1013,2010-11
1610612746,82,1519,2010-11
1610612747,82,1487,2010-11
1611661320,34,597,2010-11
1612709915,50,1077,2010-11
1610612763,82,926,2010-11
1610612748,82,1479,2010-11
1610612749,82,1414,2010-11
1611661324,34,526,2010-11
1610612750,82,1565,2010-11
1610612751,82,1337,2010-11
1612709893,50,890,2010-11
1610612740,82,1232,2010-11
1610612752,82,2081,2010-11
1611661313,34,570,2010-11
1610612760,82,1403,2010-11
1610612753,82,2103,2010-11
1610612755,82,1248,2010-11
1611661317,34,701,2010-11
1610612756,82,1857,2010-11
1610612757,82,1503,2010-11
1612709914,50,821,2010-11
1612709908,50,1364,2010-11
1610612758,82,1277,2010-11
1611661319,34,587,2010-11
1610612759,82,1727,2010-11
1611661328,34,667,2010-11
1612709904,50,813,2010-11
1612709917,50,970,2010-11
1612709918,50,896,2010-11
1610612761,82,1091,2010-11
1612709889,50,834,2010-11
1611661321,34,554,2010-11
1612709909,50,932,2010-11
1610612762,82,1256,2010-11
1611661322,34,454,2010-11
1610612764,82,1182,2010-11
1611661330,34,284,2011-12
1610612737,66,1330,2011-12
1612709890,50,1039,2011-12
1612709900,50,1095,2011-12
1610612738,66,988,2011-12
1612709893,50,941,2011-12
1610612766,66,892,2011-12
1610612741,66,1117,2011-12
1611661329,34,448,2011-12
1610612739,66,1273,2011-12
1611661323,34,557,2011-12
1612709902,50,884,2011-12
1610612742,66,1464,2011-12
1610612743,66,1311,2011-12
1610612765,66,916,2011-12
1612709913,50,933,2011-12
1612709910,50,718,2011-12
1610612744,66,1351,2011-12
1610612745,66,1330,2011-12
1612709903,50,1085,2011-12
1611661325,34,589,2011-12
1610612754,66,1064,2011-12
1612709911,50,768,2011-12
1610612746,66,1441,2011-12
1612709905,50,953,2011-12
1610612747,66,1112,2011-12
1611661320,34,598,2011-12
1612709915,50,921,2011-12
1610612763,66,849,2011-12
1610612748,66,1030,2011-12
1610612749,66,1265,2011-12
1611661324,34,459,2011-12
1610612750,66,1423,2011-12
1610612751,66,1481,2011-12
1610612740,66,777,2011-12
1610612752,66,1538,2011-12
1611661313,34,551,2011-12
1610612760,66,1317,2011-12
1610612753,66,1785,2011-12
1610612755,66,963,2011-12
1611661317,34,641,2011-12
1610612756,66,1295,2011-12
1610612757,66,1382,2011-12
1612709914,50,1060,2011-12
1612709908,50,1500,2011-12
1610612758,66,1301,2011-12
1611661319,34,620,2011-12
1610612759,66,1405,2011-12
1611661328,34,599,2011-12
1612709904,50,749,2011-12
1612709917,50,1223,2011-12
1612709918,50,800,2011-12
1610612761,66,1075,2011-12
1612709889,50,845,2011-12
1611661321,34,589,2011-12
1610612762,66,845,2011-12
1611661322,34,520,2011-12
1610612764,66,1075,2011-12
1610612748,12,198,2013-14
1610612744,7,146,2013-14
1610612756,7,124,2013-14
1610612750,6,126,2013-14
1610612766,6,87,2013-14
1610612742,6,121,2013-14
1610612763,6,122,2013-14
1610612757,6,99,2013-14
1610612743,6,140,2013-14
1610612738,5,107,2013-14
1610612745,5,114,2013-14
1610612760,5,95,2013-14
1610612741,5,111,2013-14
1610612761,5,72,2013-14
1610612754,5,109,2013-14
1610612747,5,119,2013-14
1610612762,5,73,2013-14
1610612739,5,93,2013-14
1612709916,5,93,2013-14
1610612759,5,99,2013-14
1610612764,5,79,2013-14
1610612749,5,95,2013-14
1610612740,5,59,2013-14
1610612737,5,99,2013-14
