SEASON_YEAR_FULL,TeamID,TeamName,WINS,WinPCT,PointsPG,DiffPointsPG,AheadAtHalf,Home_Wins,Home_Losses,Road_Wins,Road_Losses,FG3A_PG
2010-11,1610612759,Spurs,61,0.744,104.0,6.0,46-5,36,5,25,16,14.2
2010-11,1610612759,Spurs,61,0.744,104.0,6.0,46-5,36,5,25,16,21.0609756097561
2010-11,1610612741,Bulls,62,0.756,99.0,7.0,45-6,36,5,26,15,13.4
2010-11,1610612741,Bulls,62,0.756,99.0,7.0,45-6,36,5,26,15,17.25609756097561
2010-11,1610612747,Lakers,57,0.695,101.0,6.0,41-9,30,11,27,14,12.4
2010-11,1610612747,Lakers,57,0.695,101.0,6.0,41-9,30,11,27,14,18.134146341463413
2010-11,1610612748,Heat,58,0.707,102.0,7.0,46-9,30,11,28,13,8.8
2010-11,1610612748,Heat,58,0.707,102.0,7.0,46-9,30,11,28,13,18.036585365853657
2010-11,1610612742,Mavericks,57,0.695,100.0,4.0,38-9,29,12,28,13,12.0
2010-11,1610612742,Mavericks,57,0.695,100.0,4.0,38-9,29,12,28,13,21.5609756097561
2010-11,1610612738,Celtics,56,0.683,97.0,5.0,36-10,33,8,23,18,14.0
2010-11,1610612738,Celtics,56,0.683,97.0,5.0,36-10,33,8,23,18,13.646341463414634
2010-11,1610612753,Magic,52,0.634,99.0,5.0,37-8,29,12,23,18,13.2
2010-11,1610612753,Magic,52,0.634,99.0,5.0,37-8,29,12,23,18,25.646341463414632
2010-11,1610612760,Thunder,55,0.671,105.0,4.0,40-7,30,11,25,16,12.8
2010-11,1610612760,Thunder,55,0.671,105.0,4.0,40-7,30,11,25,16,17.109756097560975
2010-11,1610612743,Nuggets,50,0.61,107.0,5.0,35-8,33,8,17,24,15.0
2010-11,1610612743,Nuggets,50,0.61,107.0,5.0,35-8,33,8,17,24,20.78048780487805
2010-11,1610612737,Hawks,44,0.537,95.0,-1.0,34-10,24,17,20,21,12.6
2010-11,1610612737,Hawks,44,0.537,95.0,-1.0,34-10,24,17,20,21,17.402439024390244
2010-11,1610612757,Trail Blazers,48,0.585,96.0,2.0,32-13,30,11,18,23,14.8
2010-11,1610612757,Trail Blazers,48,0.585,96.0,2.0,32-13,30,11,18,23,18.329268292682926
2010-11,1610612752,Knicks,42,0.512,107.0,1.0,32-12,23,18,19,22,24.6
2010-11,1610612752,Knicks,42,0.512,107.0,1.0,32-12,23,18,19,22,25.378048780487806
2010-11,1610612740,Hornets,46,0.561,95.0,1.0,30-14,28,13,18,23,14.2
2010-11,1610612740,Hornets,46,0.561,95.0,1.0,30-14,28,13,18,23,15.024390243902438
2010-11,1610612755,76ers,41,0.5,99.0,2.0,30-10,26,15,15,26,15.0
2010-11,1610612755,76ers,41,0.5,99.0,2.0,30-10,26,15,15,26,15.21951219512195
2010-11,1610612763,Grizzlies,46,0.561,100.0,2.0,32-8,30,11,16,25,7.4
2010-11,1610612763,Grizzlies,46,0.561,100.0,2.0,32-8,30,11,16,25,11.292682926829269
2010-11,1610612754,Pacers,37,0.451,100.0,-1.0,29-10,24,17,13,28,19.4
2010-11,1610612754,Pacers,37,0.451,100.0,-1.0,29-10,24,17,13,28,20.158536585365855
2010-11,1610612745,Rockets,43,0.524,106.0,2.0,31-14,25,16,18,23,14.4
2010-11,1610612745,Rockets,43,0.524,106.0,2.0,31-14,25,16,18,23,22.475609756097562
2010-11,1610612749,Bucks,35,0.427,92.0,-1.0,26-13,22,19,13,28,12.0
2010-11,1610612749,Bucks,35,0.427,92.0,-1.0,26-13,22,19,13,28,17.24390243902439
2010-11,1610612766,Bobcats,34,0.415,93.0,-4.0,22-6,21,20,13,28,12.4
2010-11,1610612766,Bobcats,34,0.415,93.0,-4.0,22-6,21,20,13,28,14.670731707317072
